name,color,size,price_sale,price
Sneakers 82066,d6d0da,36,,105
Sneakers 82066,d6d0da,39,,105
Sneakers 82066,026f38,36,,105
Sneakers 82066,026f38,39,,105
Sneakers 82066,d6d0da,37,,105
Sneakers 82066,d6d0da,40,,105
Sneakers 82066,026f38,37,,105
Sneakers 82066,026f38,40,,105
Sneaker Marina,CD7F32,35,,109
Sneaker Marina,CD7F32,39,,109
Sneaker Marina,CD7F32,41,,109
Sneaker Marina,eec4ab,35,,109
Sneaker Marina,eec4ab,39,,109
Sneaker Marina,eec4ab,41,,109
Sneaker Marina,CD7F32,37,,109
Sneaker Marina,eec4ab,37,,109
Sneakers 8100,FFFFFF,36,,95
Sneakers 8100,FFFFFF,37,,95
Sneakers 8100,FFFFFF,39,,95
Sneakers 8100,FFFFFF,40,,95
Sneakers 8100,1f2839,36,,95
Sneakers 8100,1f2839,37,,95
Sneakers 8100,1f2839,39,,95
Sneakers 8100,1f2839,40,,95
Sneakers 8100,e80980,36,,95
Sneakers 8100,e80980,37,,95
Sneakers 8100,e80980,39,,95
Sneakers 8100,e80980,40,,95
Sneakers 8100,FFFFFF,38,,95
Sneakers 8100,FFFFFF,41,,95
Sneakers 8100,1f2839,38,,95
Sneakers 8100,1f2839,41,,95
Sneakers 8100,e80980,38,,95
Sneakers 8100,e80980,41,,95
Sneakers 2651 cat,FFFFFF,35,,109
Sneakers 2651 cat,FFFFFF,36,,109
Sneakers 2651 cat,FFFFFF,37,,109
Sneakers 2651 cat,FFFFFF,38,,109
Sneakers 2651 cat,FFFFFF,41,,109
Sneakers 2651 cat,e4a677,35,,109
Sneakers 2651 cat,e4a677,36,,109
Sneakers 2651 cat,e4a677,37,,109
Sneakers 2651 cat,e4a677,38,,109
Sneakers 2651 cat,e4a677,41,,109
Sneakers 2651 cat,786153,35,,109
Sneakers 2651 cat,786153,36,,109
Sneakers 2651 cat,786153,37,,109
Sneakers 2651 cat,786153,38,,109
Sneakers 2651 cat,786153,41,,109
Sneakers 2651 cat,CD7F32,35,,109
Sneakers 2651 cat,CD7F32,36,,109
Sneakers 2651 cat,CD7F32,37,,109
Sneakers 2651 cat,CD7F32,38,,109
Sneakers 2651 cat,CD7F32,41,,109
Sneakers 2651 cat,FFFFFF,39,,109
Sneakers 2651 cat,FFFFFF,40,,109
Sneakers 2651 cat,e4a677,39,,109
Sneakers 2651 cat,e4a677,40,,109
Sneakers 2651 cat,786153,39,,109
Sneakers 2651 cat,786153,40,,109
Sneakers 2651 cat,CD7F32,39,,109
Sneakers 2651 cat,CD7F32,40,,109
Sneakers 23039,0,36,,89.9
Sneakers 23039,0,37,,89.9
Sneakers 23039,0,38,,89.9
Sneakers 23039,0,39,,89.9
Sneakers 23039,0,40,,89.9
Sneakers 23039,0,41,,89.9
Sneakers 23039,FFFFFF,36,,89.9
Sneakers 23039,FFFFFF,37,,89.9
Sneakers 23039,FFFFFF,38,,89.9
Sneakers 23039,FFFFFF,39,,89.9
Sneakers 23039,FFFFFF,40,,89.9
Sneakers 23039,FFFFFF,41,,89.9
Sneakers 23039,0,35,,89.9
Sneakers 23039,FFFFFF,35,,89.9
Sneakers 9040,FFFFFF,35,,79.9
Sneakers 9040,FFFFFF,36,,79.9
Sneakers 9040,FFFFFF,37,,79.9
Sneakers 9040,FFFFFF,38,,79.9
Sneakers 9040,FFFFFF,39,,79.9
Sneakers 9040,FFFFFF,41,,79.9
Sneakers 9040,e4a677,35,,79.9
Sneakers 9040,e4a677,36,,79.9
Sneakers 9040,e4a677,37,,79.9
Sneakers 9040,e4a677,38,,79.9
Sneakers 9040,e4a677,39,,79.9
Sneakers 9040,e4a677,41,,79.9
Sneakers 9040,09cfda,35,,79.9
Sneakers 9040,09cfda,36,,79.9
Sneakers 9040,09cfda,37,,79.9
Sneakers 9040,09cfda,38,,79.9
Sneakers 9040,09cfda,39,,79.9
Sneakers 9040,09cfda,41,,79.9
Sneakers 23180,ac8e83,36,,89.9
Sneakers 23180,e4a677,36,,89.9
Sneakers 23180,0,36,,89.9
Sneakers 23180,ac8e83,38,,89.9
Sneakers 23180,e4a677,38,,89.9
Sneakers 23180,0,38,,89.9
Sneakers 23180,ac8e83,35,,89.9
Sneakers 23180,ac8e83,37,,89.9
Sneakers 23180,ac8e83,40,,89.9
Sneakers 23180,ac8e83,41,,89.9
Sneakers 23180,e4a677,35,,89.9
Sneakers 23180,e4a677,37,,89.9
Sneakers 23180,e4a677,40,,89.9
Sneakers 23180,e4a677,41,,89.9
Sneakers 23180,0,35,,89.9
Sneakers 23180,0,37,,89.9
Sneakers 23180,0,40,,89.9
Sneakers 23180,0,41,,89.9
