name,color,size,price_sale,price
Zeppa 3326,e4a677,35,,76
Zeppa 3326,e4a677,36,,76
Zeppa 3326,e4a677,37,,76
Zeppa 3326,e4a677,38,,76
Zeppa 3326,e4a677,39,,76
Zeppa 3326,e4a677,40,,76
Zeppa 3326,e4a677,41,,76
Zeppa 3326,786153,35,,76
Zeppa 3326,786153,36,,76
Zeppa 3326,786153,37,,76
Zeppa 3326,786153,38,,76
Zeppa 3326,786153,39,,76
Zeppa 3326,786153,40,,76
Zeppa 3326,786153,41,,76
Zeppa 102,e4a677,39,,55.92
Zeppa 102,0,39,,55.92
Zeppa 102,ac8e83,39,,55.92
Zeppa L3402,0,41,,59.92
Zeppa L3402,FFFFFF,41,,59.92
Zeppa L3402,CD7F32,41,,59.92
Zeppa 1610,FFFFFF,36,,63.92
Zeppa 1610,FFFFFF,39,,63.92
Zeppa 1610,0,36,,63.92
Zeppa 1610,0,39,,63.92
Zeppa 1610,eec4ab,36,,63.92
Zeppa 1610,eec4ab,39,,63.92
Zeppa 5700,FFFFFF,37,,63.92
Zeppa 5700,FFFFFF,38,,63.92
Zeppa 5700,FFFFFF,39,,63.92
Zeppa 5700,FFFFFF,40,,63.92
Zeppa 5700,FFFFFF,41,,63.92
Zeppa 5700,0,37,,63.92
Zeppa 5700,0,38,,63.92
Zeppa 5700,0,39,,63.92
Zeppa 5700,0,40,,63.92
Zeppa 5700,0,41,,63.92
Zeppa 5700,ac8e83,37,,63.92
Zeppa 5700,ac8e83,38,,63.92
Zeppa 5700,ac8e83,39,,63.92
Zeppa 5700,ac8e83,40,,63.92
Zeppa 5700,ac8e83,41,,63.92
Zeppa 5700,FFFFFF,35,,63.92
Zeppa 5700,FFFFFF,36,,63.92
Zeppa 5700,0,35,,63.92
Zeppa 5700,0,36,,63.92
Zeppa 5700,ac8e83,35,,63.92
Zeppa 5700,ac8e83,36,,63.92
Zeppa 100,FFFFFF,37,,39.92
Zeppa 100,FFFFFF,38,,39.92
Zeppa 100,FFFFFF,39,,39.92
Zeppa 100,FFFFFF,40,,39.92
Zeppa 100,0,37,,39.92
Zeppa 100,0,38,,39.92
Zeppa 100,0,39,,39.92
Zeppa 100,0,40,,39.92
Zeppa 100,fc0729,37,,39.92
Zeppa 100,fc0729,38,,39.92
Zeppa 100,fc0729,39,,39.92
Zeppa 100,fc0729,40,,39.92
Zeppa 100,FFFFFF,41,,39.92
Zeppa 100,0,41,,39.92
Zeppa 100,fc0729,41,,39.92
Zeppa 102,e4a677,37,,55.92
Zeppa 102,e4a677,40,,55.92
Zeppa 102,e4a677,41,,55.92
Zeppa 102,0,37,,55.92
Zeppa 102,0,40,,55.92
Zeppa 102,0,41,,55.92
Zeppa 102,ac8e83,37,,55.92
Zeppa 102,ac8e83,40,,55.92
Zeppa 102,ac8e83,41,,55.92
Zeppa 102,e4a677,35,,55.92
Zeppa 102,0,35,,55.92
Zeppa 102,ac8e83,35,,55.92
