Store_name,address,locality,city,state_postal,state,postal_code,email,vat
Superga 17 Torino,Via Lagrange 27,"Torino, TO  10123",Torino,TO  10123,TO,10123,superga17@superga.net,0114546070
Superga 60 Torino,Corso De Gasperi 29,"Torino, TO  10129",Torino,TO  10129,TO,10129,superga60@superga.net,0115817756
Superga 30 Roma,Via Di Campo Marzio 33,"Roma, RM  00186",Roma,RM  00186,RM,00186,superga30@superga.net,0697625160
Superga 31 Roma,Via Della Vite 86,"Roma, RM  00186",Roma,RM  00186,RM,00186,superga31@superga.net,066787654
Superga 200 Milano,Via Ragazzi Del '99 2,"Milano, MI  20121",Milano,MI  20121,MI,20121,superga200@superga.net,0287365184
Superga 43 Milano,Corso 22 Marzo 9,"Milano, MI  20129",Milano,MI  20129,MI,20129,superga43@superga.net,025464066
Superga 1 Caselle,Strada San Maurizio 12,"Caselle Torinese, TO  10072",Caselle Torinese,TO  10072,TO,10072,superga1@superga.net,01119885033
Superga 101 Palermo,Via Giuseppe Lanza Di Scalea Snc,"Palermo, PA  90146",Palermo,PA  90146,PA,90146,superga101@superga.net,0912715739
Superga 109 Trapani,Via Giovanbattista Fardella 178/A,"Trapani, TP  91100",Trapani,TP  91100,TP,91100,superga109@superga.net,0923333843
Superga 117 Salerno,Via Dei Principati 58/60,"Salerno, SA  84122",Salerno,SA  84122,SA,84122,superga117@superga.net,0892096765
Superga 120 Cuneo,Via Roma 36,"Cuneo, CN  12100",Cuneo,CN  12100,CN,12100,superga120@superga.net,01711865268
Superga 122 Riva del Garda,Via Armando Diaz 20,"Riva Del Garda, TN  38066",Riva Del Garda,TN  38066,TN,38066,superga122@superga.net,0464668571
Superga 136 Catania,Via Cristoforo Colombo 1,"San Giovanni La Punta, CT  95037",San Giovanni La Punta,CT  95037,CT,95037,superga136@superga.net,0959515384
Superga 145 Catania,Via Umberto I 3,"Catania, CT  95125",Catania,CT  95125,CT,95125,superga145@superga.net,0952500302
Superga 151 Marcianise,Ss. Ss. 87 Località Aurno Snc,"Marcianise, CE  81025",Marcianise,CE  81025,CE,81025,superga151@superga.net,0823609102
Superga 152 Messina,Via Maddalena 38,"Messina, ME  98123",Messina,ME  98123,ME,98123,superga152@superga.net,0909485108
Superga 153 Palermo,Via Assoro 25,"Palermo, PA  90135",Palermo,PA  90135,PA,90135,superga153@superga.net,0917465682
Superga 155 Catania,Via Quasimodo 1,"Gravina Di Catania, CT  95030",Gravina Di Catania,CT  95030,CT,95030,superga155@superga.net,0959515383
Superga 156 Melilli,Corso Edoardo Garrone 1,"Melilli, SR  96010",Melilli,SR  96010,SR,96010,superga156@superga.net,0931761225
Superga 163 Siracusa,Corso Matteotti 70,"Siracusa, SR  96100",Siracusa,SR  96100,SR,96100,superga163@superga.net,093166759
Superga 166 Napoli,Via Chiaia 167,"Napoli, NA  80121",Napoli,NA  80121,NA,80121,superga166@superga.net,08118658140
Superga 169 Palermo,Via Filippo Pecoraino Snc,"Palermo, PA  90124",Palermo,PA  90124,PA,90124,superga169@superga.net,091473917
Superga 173 Carini,Contr. Ciachea Snc,"Carini, PA  90044",Carini,PA  90044,PA,90044,superga173@superga.net,0918690913
Superga 176 Ragusa,Via Achille Grandi 26,"Ragusa, RG  97100",Ragusa,RG  97100,RG,97100,superga176@superga.net,0932257758
Superga 179 Firenze,Via Vacchereccia 6/R,"Firenze, FI  50122",Firenze,FI  50122,FI,50122,superga179@superga.net,0550939976
Superga 18 Rivarolo,Corso Indipendenza 74,"Rivarolo Canavese, TO  10086",Rivarolo Canavese,TO  10086,TO,10086,superga18@superga.net,0124435119
Superga 181 San Salvo,Contr. Piana S.Angelo Snc,"San Salvo, CH  66050",San Salvo,CH  66050,CH,66050,superga181@superga.net,0873544027
Superga 184 Taormina,Corso Umberto 225,"Taormina, ME  98039",Taormina,ME  98039,ME,98039,superga184@superga.net,0942395510
Superga 188 Cefalù,Corso Ruggero 28,"Cefalù, PA  90015",Cefalù,PA  90015,PA,90015,superga188@superga.net,0921-600783
Superga 189 Cassino,Via Casilina Snc,"Piedimonte San Germano, FR  03030",Piedimonte San Germano,FR  03030,FR,03030,superga189@superga.net,07761715361
Superga 191 Marsala,Via Roma 117,"Marsala, TP  91025",Marsala,TP  91025,TP,91025,superga191@superga.net,0923873886
Superga 192 Chieti,Via Po 1,"San Giovanni Teatino, CH  66020",San Giovanni Teatino,CH  66020,CH,66020,superga192@superga.net,3467371618
Superga 193 Catania,Strada Sp54 Snc,"Misterbianco, CT  95045",Misterbianco,CT  95045,CT,95045,superga193@superga.net,0958745394
Superga 195 Soverato,Corso Umberto 98,"Soverato, CZ  88068",Soverato,CZ  88068,CZ,88068,superga195@superga.net,0967595220
Superga 196 Caltagirone,Viale Europa 115,"Caltagirone, CT  95041",Caltagirone,CT  95041,CT,95041,superga196@superga.net,0933336822
Superga 198 Sciacca,Via Licata 187,"Sciacca, AG  92019",Sciacca,AG  92019,AG,92019,superga198@superga.net,0925080176
Superga 199 Acireale,Corso Umberto I 6,"Acireale, CT  95024",Acireale,CT  95024,CT,95024,superga199@superga.net,0959515386
Superga 25 Rovigo,Via 10 Luglio 24,"Rovigo, RO  45100",Rovigo,RO  45100,RO,45100,superga25@superga.net,0425460530
Superga 28 Empoli,Via Del Papa 84/86,"Empoli, FI  50053",Empoli,FI  50053,FI,50053,superga28@superga.net,3925591102
Superga 35 Bologna,Via Indipendenza 2,"Bologna, BO  40121",Bologna,BO  40121,BO,40121,superga35@superga.net,0519525100
Superga 44 Lecce,Via Trinchese 90,"Lecce, LE  73100",Lecce,LE  73100,LE,73100,superga44@superga.net,0832238111
Superga 47 Genova Sestri,Via Sestri 124R,"Genova, GE  16154",Genova,GE  16154,GE,16154,superga47@superga.net,0100926059
