name,color,size,price_sale,price
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,35,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,36,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,37,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,38,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,39,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,40,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,41,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,42,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,35,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,36,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,37,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,38,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,39,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,40,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,41,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,42,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,35,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,36,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,37,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,38,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,39,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,40,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,41,,105.00
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,42,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,35,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,36,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,37,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,38,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,39,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,40,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,41,,105.00
3051 ALPINA APEX HIGH,TOTAL BLACK,42,,105.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,35,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,36,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,37,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,38,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,39,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,40,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,41,,109.00
3052 ALPINA APEX MID VEGAN MATERIAL,TOTAL BLACK,42,,109.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,35,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,36,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,37,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,38,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,39,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,40,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,41,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,42,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,35,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,36,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,37,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,38,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,39,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,40,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,41,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BLACK,42,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,35,,129.00
3051 ALPINA APEX HIGH VEGAN MATERIAL,TOTAL BEIGE NATURAL,36,,129.00
