Store_name,address,locality,city,state_postal,state,postal_code,email,vat
Superga 17 Torino,Via Lagrange 27,"Torino, TO  10123",Torino,TO  10123,TO,10123,superga17@superga.net,114546070
Superga 60 Torino,Corso De Gasperi 29,"Torino, TO  10129",Torino,TO  10129,TO,10129,superga60@superga.net,115817756
Superga 30 Roma,Via Di Campo Marzio 33,"Roma, RM  00186",Roma,RM  00186,RM,186,superga30@superga.net,697625160
Superga 31 Roma,Via Della Vite 86,"Roma, RM  00186",Roma,RM  00186,RM,186,superga31@superga.net,66787654
Superga 200 Milano,Via Ragazzi Del '99 2,"Milano, MI  20121",Milano,MI  20121,MI,20121,superga200@superga.net,287365184
Superga 43 Milano,Corso 22 Marzo 9,"Milano, MI  20129",Milano,MI  20129,MI,20129,superga43@superga.net,25464066
Superga 1 Caselle,Strada San Maurizio 12,"Caselle Torinese, TO  10072",Caselle Torinese,TO  10072,TO,10072,superga1@superga.net,1119885033
Superga 101 Palermo,Via Giuseppe Lanza Di Scalea Snc,"Palermo, PA  90146",Palermo,PA  90146,PA,90146,superga101@superga.net,912715739
Superga 109 Trapani,Via Giovanbattista Fardella 178/A,"Trapani, TP  91100",Trapani,TP  91100,TP,91100,superga109@superga.net,923333843
Superga 117 Salerno,Via Dei Principati 58/60,"Salerno, SA  84122",Salerno,SA  84122,SA,84122,superga117@superga.net,892096765
Superga 120 Cuneo,Via Roma 36,"Cuneo, CN  12100",Cuneo,CN  12100,CN,12100,superga120@superga.net,1711865268
Superga 122 Riva del Garda,Via Armando Diaz 20,"Riva Del Garda, TN  38066",Riva Del Garda,TN  38066,TN,38066,superga122@superga.net,464668571
Superga 136 Catania,Via Cristoforo Colombo 1,"San Giovanni La Punta, CT  95037",San Giovanni La Punta,CT  95037,CT,95037,superga136@superga.net,959515384
Superga 145 Catania,Via Umberto I 3,"Catania, CT  95125",Catania,CT  95125,CT,95125,superga145@superga.net,952500302
Superga 151 Marcianise,Ss. Ss. 87 Località Aurno Snc,"Marcianise, CE  81025",Marcianise,CE  81025,CE,81025,superga151@superga.net,823609102
Superga 152 Messina,Via Maddalena 38,"Messina, ME  98123",Messina,ME  98123,ME,98123,superga152@superga.net,909485108
Superga 153 Palermo,Via Assoro 25,"Palermo, PA  90135",Palermo,PA  90135,PA,90135,superga153@superga.net,917465682
Superga 155 Catania,Via Quasimodo 1,"Gravina Di Catania, CT  95030",Gravina Di Catania,CT  95030,CT,95030,superga155@superga.net,959515383
