nome,colore,prezzo_scontato,prezzo_originale,colori_disponibili,taglie_disponibili,categoria,gender,url
3051 ALPINA APEX HIGH,TOTAL BLACK,105.00,N/A,"TOTAL BEIGE NATURAL, TOTAL BLACK","35, 36, 37, 38, 39, 40, 41",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-woman-3051-alpina-apex-high-total-black-s1171qw-997?_pos=1&_fid=0c6d0a053&_ss=c
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,105.00,N/A,"TOTAL BEIGE NATURAL, TOTAL BLACK","35, 36, 37, 38, 39, 40, 41, 42",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-woman-3051-alpina-apex-high-total-beige-natural-s1171qw-ar3?_pos=2&_fid=0c6d0a053&_ss=c
2341 ALPINA NAPPA,FULL BLACK,109.00,N/A,"BEIGE LT EGGSHELL-F AVORIO, BEIGE NATURAL TOTAL-MATTE-F AVORIO, BLACK BRISTOL TOTAL-MATTE-F AVORIO, BLACK TOTAL-MATTE-F AVORIO, BLACK-F AVORIO, FULL BLACK, TOTAL BEIGE GESSO, WHITE","35, 36, 37, 38, 39, 40, 41, 42",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-unisex-2341-alpina-nappa-allacciata-full-black-s41188w-a09?_pos=3&_fid=0c6d0a053&_ss=c
2341 ALPINA NAPPA,WHITE,109.00,N/A,"BEIGE LT EGGSHELL-F AVORIO, BEIGE NATURAL TOTAL-MATTE-F AVORIO, BLACK BRISTOL TOTAL-MATTE-F AVORIO, BLACK TOTAL-MATTE-F AVORIO, BLACK-F AVORIO, FULL BLACK, TOTAL BEIGE GESSO, WHITE",2,stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/stivaletti-unisex-2341-alpina-nappa-allacciata-white-s41188w-900?_pos=4&_fid=0c6d0a053&_ss=c
2341 ALPINA NAPPA,BLACK-F AVORIO,109.00,N/A,"BEIGE LT EGGSHELL-F AVORIO, BEIGE NATURAL TOTAL-MATTE-F AVORIO, BLACK BRISTOL TOTAL-MATTE-F AVORIO, BLACK TOTAL-MATTE-F AVORIO, BLACK-F AVORIO, FULL BLACK, TOTAL BEIGE GESSO, WHITE","5, 35, 36, 37, 38, 39, 40, 41",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/stivaletti-2341-alpina-nappa-allacciata-black-f-avorio-s41188w-a7t?_pos=5&_fid=0c6d0a053&_ss=c
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,109.00,N/A,"BEIGE LT EGGSHELL-F AVORIO, BEIGE NATURAL TOTAL-MATTE-F AVORIO, BLACK BRISTOL TOTAL-MATTE-F AVORIO, BLACK TOTAL-MATTE-F AVORIO, BLACK-F AVORIO, FULL BLACK, TOTAL BEIGE GESSO, WHITE","35, 36, 37, 38, 39, 40, 41",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-unisex-2341-alpina-nappa-beige-natural-total-matte-f-avorio-s41188w-ahi?_pos=6&_fid=0c6d0a053&_ss=c
2641 ALPINA HIGH NAPPA,TOTAL BLACK,139.00,N/A,TOTAL BLACK,"35, 36, 37, 38, 39, 40, 41",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-woman-2641-alpina-high-nappa-total-black-s61243w-f90?_pos=7&_fid=0c6d0a053&_ss=c
2341 ALPINA,WHITE,89.00,N/A,"BEIGE LT EGGSHELL-SILVER-F AVORIO, BEIGE LT-F AVORIO, BLACK-F AVORIO, FULL BLACK, GREEN SAFARI-F AVORIO, PINK SKIN-F AVORIO, TOTAL WHITE AVORIO, WHITE","1, 3, 4, 35, 36, 37, 38, 39, 40, 41, 42, 43",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/stivaletti-unisex-2341-alpina-allacciate-bianche-s00gxg0-901?_pos=8&_fid=0c6d0a053&_ss=c
2341 ALPINA,FULL BLACK,89.00,N/A,"BEIGE LT EGGSHELL-SILVER-F AVORIO, BEIGE LT-F AVORIO, BLACK-F AVORIO, FULL BLACK, GREEN SAFARI-F AVORIO, PINK SKIN-F AVORIO, TOTAL WHITE AVORIO, WHITE","1, 3, 35, 36, 37, 38, 39, 40, 41, 42, 43",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-unisex-2341-alpina-allacciata-full-black-s00gxg0-996?_pos=9&_fid=0c6d0a053&_ss=c
2341 ALPINA,BLACK-F AVORIO,89.00,N/A,"BEIGE LT EGGSHELL-SILVER-F AVORIO, BEIGE LT-F AVORIO, BLACK-F AVORIO, FULL BLACK, GREEN SAFARI-F AVORIO, PINK SKIN-F AVORIO, TOTAL WHITE AVORIO, WHITE","3, 4, 36, 37, 38, 39, 40",stivaletti,F,https://www.superga.com/it/collections/stivaletti-donna/products/ankle-boots-unisex-2341-alpina-black-f-avorio-s00gxg0-adk?_pos=10&_fid=0c6d0a053&_ss=c
