,Nome,IntPrice,ScontPrice,Colore,Categoria,Gender
0,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">WHITE</span>2750-COTU CLASSICWHITE</div>",65.0,65.0,,Scarpe Basse,F
1,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">BLUE NAVY</span>2750-COTU CLASSICBLUE NAVY</div>",65.0,65.0,,Scarpe Basse,F
2,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">BLACK</span>2750-COTU CLASSICBLACK</div>",65.0,65.0,,Scarpe Basse,F
3,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">GREEN SHERWOOD</span>2750-COTU CLASSICGREEN SHERWOOD</div>",65.0,65.0,,Scarpe Basse,F
4,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">DK BORDEAUX</span>2750-COTU CLASSICDK BORDEAUX</div>",65.0,65.0,,Scarpe Basse,F
5,"<div class=""grid-product__title grid-product__title--heading"">   2750-COTU CLASSIC<span class=""cb-italic cb-block cb-font-500"">BROWN DUSTY</span>2750-COTU CLASSICBROWN DUSTY</div>",65.0,65.0,,Scarpe Basse,F
6,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">BLACK-FWHITE</span>2750 NEW PLUSBLACK-FWHITE</div>",69.0,69.0,,Scarpe Basse,F
7,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">BLUE NAVY</span>2750 NEW PLUSBLUE NAVY</div>",69.0,69.0,,Scarpe Basse,F
8,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">WHITE</span>2750 NEW PLUSWHITE</div>",69.0,69.0,,Scarpe Basse,F
9,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">PINK ISH-F AVORIO</span>2750 NEW PLUSPINK ISH-F AVORIO</div>",69.0,69.0,,Scarpe Basse,F
10,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">BEIGE LT EGGSHELL-F AVORIO</span>2750 NEW PLUSBEIGE LT EGGSHELL-F AVORIO</div>",69.0,69.0,,Scarpe Basse,F
11,"<div class=""grid-product__title grid-product__title--heading"">   2750 NEW PLUS<span class=""cb-italic cb-block cb-font-500"">PINK BLUSH-F AVORIO</span>2750 NEW PLUSPINK BLUSH-F AVORIO</div>",69.0,69.0,,Scarpe Basse,F
12,"<div class=""grid-product__title grid-product__title--heading"">   2750-COT3STRAPU<span class=""cb-italic cb-block cb-font-500"">WHITE</span>2750-COT3STRAPUWHITE</div>",65.0,65.0,,Scarpe Basse,F
